Supplier Deductions Key,,,,,,,,,,,
Updated January 2025,,,,,,,,,,,
,,,,,,,,,,,
Invoice # ,Category/Billing Type,Processing for Region(s) ,Customer Name,Deduction Description,,,,,,,
"
ERSLSBYS(mmyy)0(Remit#)",Advertising - Quarterly Ad Billings,UNFI East Region,,Velocity Report -  Sales by State.  Dollar/Case sales by state by UNFI Distribution Center including all classes of trade.,,,,,,,
"(invoice #)29CM
(invoice#)PCM
(invoice#)FNCM",Recalls - Weights & Measures Fine,UNFI East Region,,Recalls:  Recalled product still in UNFI warehouses and the cost to destroy the recalled product,,,,,,,
(invoice #)ACPTO,3rd Party Billing,UNFI East Region,Angelo Caputo,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)AHOLD,3rd Party Billing,UNFI East Region,Ahold / Stop & Shop,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)AKINS,3rd Party Billing,UNFI East Region,AKINS,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)AKINS,3rd Party Billing,UNFI West Region,Akins,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)IF3,3rd Party Billing,UNFI East Region,Better Health Market,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)BIGY,3rd Party Billing,UNFI East Region,Big Y,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)BUSCH,3rd Party Billing,UNFI East Region,Busch's,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(Invoice #)CKMKT,3rd Party Billing,UNFI West Region,C&K Market,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)DAG,3rd Party Billing,UNFI East Region,D'Agostino's,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)DAVEM,3rd Party Billing,UNFI East Region,Dave's Marketplace,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)DELHAZ,3rd Party Billing,UNFI East Region,Ahold / Delhaize,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)DIBRGS,3rd Party Billing,UNFI East Region,Dierberg's,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)DMOULA,3rd Party Billing,UNFI East Region,Demoulas,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
(invoice #)DONLAN,3rd Party Billing,UNFI East Region,Donelans,3rd Party Billing - This is a pass through deduction on behalf of the customer.  UNFI passes these through to the Supplier.,,,,,,,
